,Rooms,Status,Area,Price
448,3,Ready to move,1200,10500000
449,3,Ready to move,900,8000000
450,4,Ready to move,2300,31500000
451,4,Ready to move,2300,21500000
452,4,Ready to move,1500,12000000
453,4,Ready to move,3600,42500000
454,3,Ready to move,1200,11500000
455,2,Ready to move,720,4500000
456,3,Ready to move,1125,15500000
457,3,Ready to move,1800,21000000
458,5,Ready to move,3500,35000000
459,4,Ready to move,2400,25500000
460,4,Ready to move,2400,24700000
461,2,Ready to move,600,2700000
462,4,Ready to move,2300,15000000
463,1,Ready to move,385,4011000
464,1,Ready to move,385,3611000
465,1,Ready to move,385,3211000
466,1,Ready to move,385,3011000
467,4,Ready to move,2200,21500000
468,3,Ready to move,1750,17400000
469,4,Ready to move,2400,24500000
470,3,Ready to move,1750,17400000
471,4,Ready to move,2400,29000000
472,3,Ready to move,1700,15500000
473,4,Ready to move,2400,27900000
474,3,Ready to move,1750,19500000
475,3,Ready to move,1750,18000000
476,3,Ready to move,1750,18400000
477,3,Ready to move,1700,17100000
478,3,Ready to move,1800,20700000
479,3,Ready to move,1750,19000000
480,3,Ready to move,1800,21000000
481,3,Ready to move,1700,16000000
482,3,Ready to move,1700,17000000
483,3,Ready to move,1700,17500000
484,4,Ready to move,2200,17500000
485,4,Ready to move,4500,180000000
486,3,Ready to move,1500,16000000
487,1,Ready to move,385,2511000
488,4,Ready to move,2300,22000000
489,4,Ready to move,2300,22000000
490,3,Ready to move,800,6700000
491,4,Ready to move,3600,34000000
492,4,Ready to move,3600,35500000
493,3,Ready to move,1700,14500000
494,3,Ready to move,1750,17300000
495,3,Ready to move,1500,18000000
496,3,Ready to move,800,8200000
497,4,Ready to move,1450,18000000
498,2,Ready to move,600,2600000
499,4,Ready to move,2200,22000000
500,3,Ready to move,900,4500000
501,2,Ready to move,630,3100000
502,2,Ready to move,700,3600000
503,2,Ready to move,660,3500000
504,2,Ready to move,630,3300000
505,3,Ready to move,1125,5850000
506,3,Ready to move,900,4500000
507,2,Ready to move,720,3500000
508,3,Ready to move,810,4900000
509,3,Ready to move,900,4500000
