,Rooms,Status,Area,Price
0,3,1,3300,58800000
1,2,0,900,5000000
2,3,1,3300,58800000
3,3,0,1200,7000000
4,3,1,3300,58800000
5,2,0,800,5000000
6,2,0,900,11500000
7,3,0,1800,30500000
8,3,0,1000,4300000
9,2,0,500,2200000
10,2,0,750,3000000
11,2,0,600,3500000
12,4,0,3000,36000000
13,2,0,900,14000000
14,3,0,600,5400000
15,3,0,1000,4000000
16,4,0,1200,33000000
17,3,0,720,4400000
18,2,0,1150,8499000
19,1,0,445,3600000
20,3,0,1275,13000000
21,2,0,757,3500000
22,3,0,2200,27500000
23,3,1,1000,4800000
24,2,0,1042,4000000
25,3,0,810,6000000
26,2,0,450,2200000
27,1,1,500,2300000
28,4,0,1440,65000000
29,4,0,3265,100000000
30,3,0,1800,25000000
31,2,0,720,4799000
32,3,0,1100,12900000
33,2,0,1800,6200000
34,3,0,1900,62500000
35,2,0,972,9000000
36,2,0,440,3400000
37,3,0,900,3500000
38,3,0,1350,18500000
39,2,0,732,8500000
40,3,0,864,4800000
41,2,0,540,3100000
42,4,0,4950,65000000
43,2,0,802,3500000
44,4,0,1350,12500000
45,3,0,900,4400000
46,2,0,500,3800000
47,2,0,1100,15000000
48,2,0,1025,4799000
49,4,0,4800,60000000
50,3,0,1350,16000000
51,3,0,803,3499000
52,3,0,1450,13000000
53,4,0,2045,22900000
54,2,0,580,1898999
55,3,0,1337,7500000
56,2,0,700,3350000
57,3,0,800,5050000
58,5,0,8640,127500000
59,2,0,1100,8800000
60,3,0,1365,17500000
61,3,0,1000,5100000
62,2,0,810,6000000
63,2,0,750,3800000
64,2,0,925,3800000
65,2,0,500,3500000
66,5,0,3600,72500000
67,2,1,459,1500000
68,2,0,500,2900000
69,2,0,405,1900000
70,4,0,3600,55000000
71,3,0,1125,5500000
72,3,0,1350,6300000
73,3,0,990,3500000
74,1,0,442,5580000
75,5,0,2500,21000000
76,4,0,2000,23900000
77,1,0,500,3208000
78,2,0,750,8500000
79,3,1,1100,7500000
80,2,0,550,3500000
81,2,0,720,4200000
82,4,0,2600,33500000
83,2,0,1100,11000000
84,2,1,642,2500000
85,2,1,684,4800000
86,3,1,1152,6500000
87,4,0,3150,61500000
88,2,1,750,3200000
89,3,0,1500,20500000
90,5,0,1650,9000000
91,1,0,500,5700000
92,2,0,650,4000000
93,2,0,720,9000000
94,2,0,810,4600000
95,2,0,540,2150000
96,2,0,650,2500000
97,4,0,1800,25000000
98,3,0,1100,5000000
99,2,0,930,12500000
100,3,1,3300,58800000
101,4,0,1100,5800000
102,3,0,1000,4400000
103,1,0,500,2500000
104,3,0,1900,60000000
105,1,0,360,1800000
106,3,0,1450,13000000
107,2,0,960,11100000
108,2,0,840,9000000
109,3,0,1800,35000000
110,3,0,1535,6200000
111,3,1,1150,4800000
112,2,0,800,3200000
113,3,0,1800,28000000
114,2,0,585,3200000
115,3,0,1200,18000000
116,3,0,1150,18000000
117,2,0,625,2300000
118,2,0,986,20000000
119,1,0,535,1100000
120,1,0,500,1850000
121,3,0,1200,6500000
122,3,1,1100,8000000
123,2,0,675,2300000
124,3,0,1350,10000000
125,3,0,631,3575000
126,2,0,1100,8000000
127,2,0,585,2650000
128,2,0,1000,3800000
129,4,0,2700,55000000
130,1,0,350,2600000
131,5,0,2000,6200000
132,1,0,450,1800000
133,2,0,800,4300000
134,7,0,2900,75000000
135,3,0,720,6500000
136,3,0,1200,12400000
137,3,0,1250,15500000
138,2,0,522,2800000
139,4,0,2700,27500000
140,1,0,400,1500000
141,1,0,400,1500000
142,2,0,900,9000000
143,5,0,2750,15000000
144,4,0,1200,6500000
145,2,0,700,5250000
146,3,0,1650,18000000
147,2,0,900,5500000
148,2,0,650,2600000
149,3,0,900,6000000
150,5,0,2500,25000000
151,3,0,1000,4400000
152,1,0,500,4100000
153,3,1,1050,15000000
154,3,0,1200,15000000
155,3,0,1700,31000000
156,3,0,1250,14000000
157,2,0,1000,8350000
158,3,0,1250,14500000
159,4,0,2500,5200000
160,9,0,5400,14900000
161,9,0,5400,14900000
162,9,0,5400,14900000
163,5,0,5400,13799999
164,9,0,5400,14900000
165,9,0,5400,14900000
166,9,0,5400,14900000
167,9,0,5400,14900000
168,9,0,5400,14900000
169,2,0,520,2500000
170,2,0,520,2500000
171,2,0,520,2500000
172,2,0,520,2500000
173,2,0,520,2500000
174,2,0,520,2500000
175,3,0,2100,30000000
176,7,0,2500,5500000
177,7,0,2500,5500000
178,7,0,2500,5500000
179,3,0,1250,14000000
180,3,0,1250,14000000
181,3,0,1250,14000000
182,3,0,1250,14000000
183,3,0,1250,14000000
184,3,0,1250,14000000
185,3,0,1250,14000000
186,3,0,1250,14000000
187,3,0,1250,14000000
188,3,0,1250,14000000
189,3,0,1250,14000000
190,3,0,1250,14000000
